epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1800.41,1.09273,1.02897,1.24185,0.85788,0.74662,0.84654,0.53958,1.30328,0.96683,1.37408,0.000525179,0.000525179,0.000525179
43,1842.4,1.06076,1.02084,1.22046,0.83153,0.81087,0.86928,0.53431,1.34902,0.89108,1.4239,0.0005075,0.0005075,0.0005075
44,1884.79,1.07114,0.98597,1.2218,0.81846,0.78082,0.82833,0.50906,1.32818,0.98446,1.40033,0.000489821,0.000489821,0.000489821
45,1927.71,1.04441,0.95801,1.20632,0.80276,0.80459,0.84478,0.49142,1.46575,1.0236,1.46407,0.000472143,0.000472143,0.000472143
46,1972.94,1.04477,0.94217,1.2033,0.85011,0.78323,0.87409,0.52117,1.38855,0.93227,1.43064,0.000454464,0.000454464,0.000454464
47,2013.89,1.0319,0.94886,1.19852,0.82891,0.72885,0.83827,0.52423,1.34134,0.92301,1.41606,0.000436786,0.000436786,0.000436786
48,2056.65,1.02009,0.94385,1.19135,0.87795,0.76313,0.8758,0.53603,1.33221,0.91109,1.41569,0.000419107,0.000419107,0.000419107
49,2097.74,0.98556,0.89323,1.15771,0.79816,0.79914,0.86925,0.52881,1.35538,0.8977,1.41389,0.000401429,0.000401429,0.000401429
50,2141.52,1.00536,0.90806,1.18223,0.85776,0.83175,0.89183,0.56271,1.30358,0.81631,1.38188,0.00038375,0.00038375,0.00038375
51,2182.3,0.98097,0.91091,1.16935,0.89855,0.75499,0.88185,0.5466,1.30388,0.89212,1.38214,0.000366071,0.000366071,0.000366071
52,2227.39,0.982,0.87878,1.16862,0.84485,0.86877,0.90069,0.56069,1.33372,0.80067,1.38985,0.000348393,0.000348393,0.000348393
53,2267.98,0.96771,0.85576,1.16128,0.87661,0.84098,0.90205,0.56773,1.29731,0.81812,1.35886,0.000330714,0.000330714,0.000330714
54,2310.85,0.97967,0.90279,1.16953,0.88667,0.80759,0.90588,0.56522,1.31082,0.81731,1.40567,0.000313036,0.000313036,0.000313036
55,2352.59,0.94492,0.84973,1.15008,0.90552,0.83167,0.90435,0.56516,1.33672,0.7654,1.41108,0.000295357,0.000295357,0.000295357
56,2395.18,0.95237,0.87193,1.15227,0.86314,0.86081,0.90676,0.56229,1.30837,0.78812,1.39408,0.000277679,0.000277679,0.000277679
57,2436.44,0.93005,0.82862,1.13382,0.88596,0.78508,0.89682,0.55641,1.32639,0.83723,1.39612,0.00026,0.00026,0.00026
58,2481.57,0.93159,0.805,1.15386,0.8946,0.82144,0.90868,0.57456,1.31023,0.79354,1.37277,0.000242321,0.000242321,0.000242321
59,2523.78,0.92197,0.82862,1.13242,0.88824,0.81824,0.90376,0.58222,1.27824,0.794,1.3636,0.000224643,0.000224643,0.000224643
60,2565.97,0.90936,0.81764,1.12659,0.88293,0.86673,0.91024,0.58673,1.31984,0.75927,1.38886,0.000206964,0.000206964,0.000206964
61,2609.48,0.86187,0.63904,1.11029,0.8652,0.81796,0.89226,0.57391,1.28837,0.79539,1.38008,0.000189286,0.000189286,0.000189286
62,2650.04,0.80832,0.57785,1.08404,0.86019,0.85445,0.90593,0.58276,1.28778,0.76109,1.39158,0.000171607,0.000171607,0.000171607
63,2693.08,0.7922,0.56862,1.06724,0.85249,0.86105,0.90149,0.56959,1.31085,0.7983,1.37895,0.000153929,0.000153929,0.000153929
64,2735.89,0.80418,0.56461,1.08595,0.87993,0.84445,0.9005,0.57655,1.26699,0.80165,1.36844,0.00013625,0.00013625,0.00013625
65,2777.17,0.8045,0.55935,1.12439,0.87935,0.85776,0.9058,0.59129,1.26063,0.76718,1.37065,0.000118571,0.000118571,0.000118571
66,2820.33,0.74317,0.52895,1.04305,0.87486,0.82942,0.91402,0.58899,1.26726,0.7744,1.36594,0.000100893,0.000100893,0.000100893
67,2861.43,0.73512,0.52419,1.04682,0.85911,0.86923,0.90311,0.58839,1.26178,0.77241,1.36234,8.32143e-05,8.32143e-05,8.32143e-05
68,2906.55,0.73269,0.52239,1.04817,0.89626,0.80558,0.89734,0.59312,1.25988,0.77063,1.3617,6.55357e-05,6.55357e-05,6.55357e-05
69,2946.36,0.73237,0.51653,1.04553,0.87621,0.83671,0.9033,0.59728,1.27458,0.77615,1.36501,4.78571e-05,4.78571e-05,4.78571e-05
70,2990.11,0.70866,0.49679,1.02052,0.88695,0.84816,0.9064,0.60011,1.25751,0.76419,1.36045,3.01786e-05,3.01786e-05,3.01786e-05
